split,mode,classifier,f1-score,accuracy,time,modality
7,groupshuffle,SVC,0.6508131868131868,0.6943563728598605,0.21506762492936105,ecg
7,groupshuffle,MLPClassifier,0.6071648351648352,0.6499682942295497,0.26557212497573346,ecg
8,groupshuffle,RandomForestClassifier,0.7446553446553448,0.7464788732394366,0.3229938340373337,ecg
8,groupshuffle,KNeighborsClassifier,0.6049284578696345,0.6056338028169015,0.19446425000205636,ecg
8,groupshuffle,SVC,0.7532151546750088,0.7535211267605634,0.2960455829743296,ecg
8,groupshuffle,MLPClassifier,0.7095245222771043,0.7112676056338028,0.24042754108086228,ecg
9,groupshuffle,RandomForestClassifier,0.6967956466986575,0.6870532979375128,0.3244967079954222,ecg
9,groupshuffle,KNeighborsClassifier,0.5577551910866915,0.5469675311415152,0.19896591699216515,ecg
9,groupshuffle,SVC,0.7103045624172385,0.692873187665918,0.20277675008401275,ecg
9,groupshuffle,MLPClassifier,0.6751919563357154,0.6640800490095977,0.22317283309530467,ecg
0,random,RandomForestClassifier,0.6714973701147384,0.6877559377559377,0.19129083398729563,eda
0,random,KNeighborsClassifier,0.6430758463826437,0.6441441441441441,0.025955207995139062,eda
0,random,SVC,0.6700178169816281,0.676085176085176,0.04564820905216038,eda
0,random,MLPClassifier,0.6673754699248119,0.6785421785421786,0.10641499992925674,eda
1,random,RandomForestClassifier,0.604553646521687,0.6098856209150326,0.12143045908305794,eda
1,random,KNeighborsClassifier,0.6205557954520504,0.6200980392156863,0.023971958085894585,eda
1,random,SVC,0.6434782608695652,0.6462418300653594,0.037945125019177794,eda
1,random,MLPClassifier,0.5625633466077021,0.5625,0.1021049169357866,eda
2,random,RandomForestClassifier,0.720931955516797,0.7043496985357451,0.13772237510420382,eda
2,random,KNeighborsClassifier,0.623184300107377,0.6057278208440999,0.025046583032235503,eda
2,random,SVC,0.7294423223834988,0.7170542635658914,0.03596916701644659,eda
2,random,MLPClassifier,0.6752099961139509,0.6705426356589147,0.13425920892041177,eda
3,random,RandomForestClassifier,0.6300029214139643,0.6271794871794871,0.12760024995077401,eda
3,random,KNeighborsClassifier,0.5714285714285714,0.5692307692307692,0.03293979098089039,eda
3,random,SVC,0.6267281105990784,0.6235897435897436,0.026639124960638583,eda
3,random,MLPClassifier,0.6349831271091113,0.6323076923076923,0.11770962504670024,eda
4,random,RandomForestClassifier,0.6142006802721088,0.6258420085731782,0.13690620800480247,eda
4,random,KNeighborsClassifier,0.6493734335839599,0.6494182486221678,0.025954124983400106,eda
4,random,SVC,0.6427109974424552,0.6479893855888956,0.03250883403234184,eda
4,random,MLPClassifier,0.6230219666202235,0.6268626250255154,0.11983833299018443,eda
5,random,RandomForestClassifier,0.6418838957300496,0.6356421356421357,0.14344270795118064,eda
5,random,KNeighborsClassifier,0.5795402298850575,0.5808080808080808,0.028487666975706816,eda
5,random,SVC,0.6633990989591425,0.6587301587301587,0.03578095801640302,eda
5,random,MLPClassifier,0.669375,0.6637806637806638,0.1290114999283105,eda
6,random,RandomForestClassifier,0.6834467120181406,0.6834150326797386,0.14064808399416506,eda
6,random,KNeighborsClassifier,0.6062397372742201,0.6086601307189543,0.0324284159578383,eda
6,random,SVC,0.712875939849624,0.7124183006535948,0.05435095902066678,eda
6,random,MLPClassifier,0.6708903708903708,0.670343137254902,0.1166787080001086,eda
7,random,RandomForestClassifier,0.7064701721636029,0.7142269736842105,0.14316341700032353,eda
7,random,KNeighborsClassifier,0.6506257982120052,0.6517269736842105,0.038172416971065104,eda
7,random,SVC,0.7431195870877438,0.7471217105263157,0.04463095800019801,eda
7,random,MLPClassifier,0.6921516439764616,0.6998355263157895,0.1052317499415949,eda
8,random,RandomForestClassifier,0.6778571428571428,0.690359477124183,0.13351929106283933,eda
8,random,KNeighborsClassifier,0.634279576492251,0.6376633986928104,0.028062457917258143,eda
8,random,SVC,0.6646785047283077,0.6756535947712419,0.03333070804364979,eda
8,random,MLPClassifier,0.6526901669758812,0.6605392156862745,0.07912975002545863,eda
9,random,RandomForestClassifier,0.6960297766749379,0.7,0.15448841697070748,eda
9,random,KNeighborsClassifier,0.6499821419460177,0.65,0.02830970799550414,eda
9,random,SVC,0.705323681913856,0.7071428571428571,0.027862166985869408,eda
9,random,MLPClassifier,0.7202725549464624,0.7214285714285714,0.10090225003659725,eda
0,groupshuffle,RandomForestClassifier,0.6967624113603671,0.6853448275862069,0.18168637505732477,eda
0,groupshuffle,KNeighborsClassifier,0.5597180153068989,0.5636288998357963,0.023545415955595672,eda
0,groupshuffle,SVC,0.6220272454398521,0.6145320197044335,0.05347116710618138,eda
0,groupshuffle,MLPClassifier,0.6561422007983732,0.6469622331691297,0.21171512501314282,eda
1,groupshuffle,RandomForestClassifier,0.5871898054996646,0.5776209677419355,0.12578387500252575,eda
1,groupshuffle,KNeighborsClassifier,0.6245745417245003,0.6161290322580645,0.031233167042955756,eda
1,groupshuffle,SVC,0.5901674694314929,0.5802419354838709,0.04166212503332645,eda
1,groupshuffle,MLPClassifier,0.5427840520937804,0.5328629032258064,0.12528649996966124,eda
2,groupshuffle,RandomForestClassifier,0.6028152236827756,0.6447230929989551,0.13784633297473192,eda
2,groupshuffle,KNeighborsClassifier,0.5097825387904157,0.5274817136886103,0.02898133301641792,eda
2,groupshuffle,SVC,0.6208501006036217,0.6495297805642634,0.026841374929063022,eda
2,groupshuffle,MLPClassifier,0.5625295867221454,0.6159874608150471,0.1566029170062393,eda
3,groupshuffle,RandomForestClassifier,0.7398331695852358,0.7333333333333334,0.13768304092809558,eda
3,groupshuffle,KNeighborsClassifier,0.6231535587699971,0.6287698412698413,0.019477874971926212,eda
3,groupshuffle,SVC,0.6862445606597293,0.6850198412698413,0.03358575003221631,eda
3,groupshuffle,MLPClassifier,0.6862445606597293,0.6850198412698413,0.10824808292090893,eda
4,groupshuffle,RandomForestClassifier,0.5576819310172594,0.5985119047619047,0.13281358394306153,eda
4,groupshuffle,KNeighborsClassifier,0.630313845113434,0.6350198412698413,0.027026041061617434,eda
4,groupshuffle,SVC,0.5866057019903174,0.6138888888888889,0.02713029191363603,eda
