subject/task,ecg,eda,resp,video,audio,task
2z7d_Relax,-0.04703873005928472,-0.007167433053837158,0.18893445748835802,0.06326588601223193,0.0,Relax
2z7d_Speaking,0.09858005093428801,0.027692093965015374,0.22435541613958776,0.1597958174534142,-0.08013135683722794,Speaking
2z7d_Stroop,0.20066974888322875,0.05228397438622778,0.23342634923756123,-0.1357366752345115,-0.015734125758172013,Stroop
2z7d_Video1,-0.09913916210643947,0.011277321842499077,0.11867374239955097,0.11639959563035518,0.0,Video1
2z7d_Video2,0.1898691242095083,-0.03485115896182833,-0.22464198805391788,-0.03316679043928161,0.0,Video2
4e8r_Breathing,0.10549025049840566,0.07873958733398467,0.09712907689390704,0.0580623085188563,0.0,Breathing
4e8r_Counting1,0.02739596413448453,-0.21320826467126608,-0.1997364052804187,0.06049681222066283,0.08877824910450727,Counting1
4e8r_Counting2,-0.03228203364415094,-0.3412192719988525,-0.05143411880271742,-0.024342944569070823,0.10842982889153063,Counting2
4e8r_Counting3,0.028412565647158772,-0.11170791741460562,-0.09448068356141448,-0.09232175012584776,0.09236931148916483,Counting3
4e8r_Math,-0.013201433001086116,0.11997536616399884,-0.029025357034697663,-0.14573595393449068,0.0332586699314561,Math
4e8r_Reading,-0.012851525571022648,0.11860755132511258,-0.08194967603776604,-0.21943942783400416,0.10108562570530921,Reading
4e8r_Relax,0.06796241935808212,0.07561536009598058,0.06976700032828376,-0.03550907113822177,0.0,Relax
4e8r_Speaking,0.03896145000180695,-0.12064231786644086,-0.05624198324221652,-0.2625764342956245,0.06115295446943492,Speaking
4e8r_Stroop,0.02909001350053586,-0.1399993939558044,-0.2714494625106454,0.0441835418168921,0.07020834018476307,Stroop
4e8r_Video1,0.02651007466192823,0.08183606356033124,0.16758650448173285,-0.07520326654776,0.0,Video1
4e8r_Video2,0.1052505299448967,0.007996240892680362,0.02904743966064416,0.023184974956166116,0.0,Video2
71i5_Breathing,0.013787692034384236,-0.1375626145163551,-0.2580461718607694,0.1591802955372259,0.0,Breathing
71i5_Counting1,0.10300574873690493,-0.10378314901026897,0.06042476305447053,0.19716372899711132,0.0,Counting1
71i5_Counting2,0.054709603515220806,-0.04667886521201581,0.10216264973860234,0.15648966026492417,0.0,Counting2
71i5_Counting3,0.10555896130244946,-0.04477424779906869,0.18657582299783826,0.09628325820085593,0.0,Counting3
71i5_Math,0.0676722442076425,-0.13951048953458667,0.061054966994561255,0.1623332784511149,0.0,Math
71i5_Reading,-0.019770341488765553,-0.07741196394545113,-0.13259327923879027,-0.15157993393950164,0.0,Reading
71i5_Relax,0.12946893519256264,0.0009922559838742018,0.17631354741752148,-0.17668461427092552,0.0,Relax
71i5_Speaking,-0.07597367251037213,-0.138924935949035,-0.1878599978517741,-0.029126367855496937,0.0,Speaking
71i5_Stroop,0.0487541211041389,0.11351071740500629,0.13419908320065588,0.05126416252460331,0.0,Stroop
71i5_Video1,-0.010597499553114176,-0.10623715879046358,-0.2539141229353845,0.12998983217403293,0.0,Video1
71i5_Video2,0.007929892293759622,0.02915600712003652,-0.11800607747863978,-0.04162136807281058,0.0,Video2
c3m7_Breathing,0.06652244471479207,-0.12796832143794745,-0.1203454535570927,-0.05775129121320788,0.0,Breathing
c3m7_Counting1,0.06515709422819782,-0.15357585111632943,0.14923311394522898,0.14519536873558536,0.1839232083875686,Counting1
c3m7_Counting2,0.033229767861485016,0.056861038610804826,0.0078438650816679,0.18847487773746252,0.12555451976368204,Counting2
c3m7_Counting3,0.018414020554700983,0.04026960549526848,0.011733216844731942,0.057016168069822015,0.30536109767854214,Counting3
c3m7_Math,0.08780238326653489,0.002661186206751154,0.1627666288986802,0.16736261150799692,-0.003753860561118927,Math
c3m7_Reading,0.12091060356760863,-0.00517325330292806,0.03845145308878273,0.27140962751582265,0.022860664677864406,Reading
c3m7_Relax,-0.026062416844069958,0.039330979427177226,-0.11752138508018106,-0.11480451561510563,0.0,Relax
c3m7_Speaking,0.11666255496675149,0.07222075475146994,0.09305173044413095,0.12604771472979337,0.07335319537378382,Speaking
c3m7_Stroop,-0.002207442041253671,0.14015477511566132,0.10126878120354377,0.09494139993330464,0.08724691367115156,Stroop
c3m7_Video1,0.1468261443078518,-0.06979446148034185,-0.24796123569831252,-0.0930708367650368,0.0,Video1
c3m7_Video2,-0.13202477316372097,-0.1064695913810283,0.22289206623099744,0.09170676075154915,0.0,Video2
g9j5_Breathing,-0.07162532513029873,0.06614678632467985,-0.1377768739766907,-0.13752195931738243,0.0,Breathing
g9j5_Counting1,-0.013220412802184,0.13550936104729772,0.06484125193674117,-0.05893738067243248,-0.125973348505795,Counting1
g9j5_Counting2,0.014312348919702345,-0.09829409280791879,0.177375033730641,0.019224502349970862,0.1605556069407612,Counting2
g9j5_Counting3,0.04398247110657394,0.024978655274026096,-0.22803636244498193,-0.08403740018547978,-0.059915710939094424,Counting3
g9j5_Math,-0.09851318795699626,-0.08196964580565691,0.0480193345592852,0.28262227214872837,-0.10417274741485016,Math
g9j5_Reading,-0.013664189311384689,-0.12320932908914983,0.023629592375073116,0.08070883923210204,-0.043453357997350395,Reading
g9j5_Relax,0.07806630679260707,0.013743406037974637,0.16952351504005492,0.037823803068022244,0.0,Relax
g9j5_Speaking,-0.005221412087848876,0.08843694074312225,0.11601991392672062,0.10721310030203313,0.025535086933814455,Speaking
g9j5_Stroop,-0.07722110010217875,-0.17544473567977548,0.16836812472320162,0.12948382085460253,0.24816943239420652,Stroop
g9j5_Video1,-0.020209329974022694,-0.01217761222505942,-0.15446349617559463,-0.08577702598995529,0.0,Video1
g9j5_Video2,-0.06145352212479338,-0.05355807751766406,-0.06813973742828239,0.030250070354668424,0.0,Video2
j9h8_Breathing,-0.15831075876485556,0.04674895649077371,-0.0828207463491708,-0.08820909563655732,0.0,Breathing
j9h8_Counting1,0.20973486627917737,-0.07844119105720893,0.25397610990330577,0.14479296082208748,-0.15919076977297664,Counting1
j9h8_Counting2,0.22700068319682032,-0.127048245863989,0.11079685506410897,0.21307771583087742,-0.21929878741502762,Counting2
j9h8_Counting3,0.25097972713410854,-0.16474778729025275,0.17221570457331836,-0.10079349268926308,-0.12200271454639733,Counting3
j9h8_Math,0.22838501702062786,-0.1420281685423106,0.22108892537653446,0.02551019552629441,-0.20441044284962118,Math
j9h8_Reading,0.2515821401029825,-0.13827277105883695,0.21994479571003467,-0.09541480485495413,-0.12684177234768867,Reading
j9h8_Relax,0.03268249387474498,0.0737366343382746,0.011996900055237347,0.06719391129445285,0.0,Relax
j9h8_Speaking,0.13624479078134755,-0.11624169291462749,0.28775460878387094,-0.013338999357074499,-0.18536650063470006,Speaking
j9h8_Stroop,0.2482661025132984,-0.09362308611162007,0.1707838703005109,0.11023598845349625,-0.1007128981873393,Stroop
j9h8_Video1,0.02902633108169539,0.12414365378208458,0.1332368665607646,-0.08228937047533691,0.0,Video1
j9h8_Video2,0.1449869389180094,-0.11577079934068024,0.05450509238289669,0.036599771738110576,0.0,Video2
qw5t_Breathing,0.17228344921022654,-0.00418294919654727,0.03955597191816196,0.08462134760338813,0.0,Breathing
qw5t_Counting1,0.20480286376550794,-0.06325214922253508,-0.010545170604018494,0.16220020432956517,-0.10517824674025178,Counting1
qw5t_Counting2,0.13910761583247222,0.08073227656132076,0.1849219414871186,0.12458972402964719,-0.07154489529784769,Counting2
qw5t_Counting3,0.31391075695864856,-0.03070650782319717,0.04020866713540272,0.12464611313771456,-0.12315589282661676,Counting3
qw5t_Math,0.15064829483162612,0.15007193689234555,0.10930597299193323,0.14656649297103286,-0.11882852646522224,Math
qw5t_Reading,0.2578336603473872,-0.10108052636496723,-0.1345572501886636,0.20580940740182996,-0.07156377410865389,Reading
qw5t_Relax,0.16073311914806254,0.08293573232367635,0.18191945174476132,-0.14928077044896781,0.0,Relax
qw5t_Speaking,0.1480239171651192,0.11151373312895885,0.1393986702314578,0.16082100849598646,-0.059454231057316065,Speaking
qw5t_Stroop,0.16517812747042626,0.0821433966702898,0.1852698416914791,0.13361328051541932,-0.10326561285182834,Stroop
qw5t_Video1,-0.2550456919707358,0.0539531341928523,-0.23898956587072462,0.26242728577926755,0.0,Video1
qw5t_Video2,-0.030130725470371544,-0.02587199462141143,-0.21374291786924005,0.3058060556650162,0.0,Video2
r0a3_Breathing,-0.0454324705651743,0.13278959464514628,0.23484663665294647,0.0,0.0,Breathing
